target,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31,e32,e33,e34,e35,e36,e37,e38,e39,e40,e41,e42,e43,e44,e45,e46,e47,e48,e49,e50,e51,e52,e53,e54,e55,e56,e57,e58,e59,e60,e61,e62,e63,e64,e65,e66,e67,e68,e69,e70,e71,e72,e73,e74,e75,e76,e77,e78,e79,e80,e81,e82,e83,e84,e85,e86,e87,e88,e89,e90,e91,e92,e93,e94,e95,e96,e97,e98,e99,e100
overall,39.528,24.430,20.893,19.696,19.116,18.824,18.715,18.598,18.606,18.535,18.510,18.479,18.470,18.491,18.433,18.424,18.489,18.464,18.400,18.405,18.413,18.420,18.367,18.368,18.387,18.377,18.354,18.366,18.346,18.372,18.380,18.372,18.368,18.380,18.349,18.338,18.347,18.396,18.352,18.361,18.325,18.388,18.327,18.340,18.334,18.326,18.331,18.340,18.362,18.332,18.337,18.418,18.320,18.359,18.339,18.320,18.359,18.367,18.343,18.323,18.340,18.328,18.326,18.335,18.340,18.361,18.444,18.602,18.358,18.347,18.327,18.320,18.356,18.317,18.317,18.334,18.341,18.329,18.314,18.343,18.332,18.323,18.313,18.338,18.345,18.362,18.360,18.329,18.357,18.338,18.320,18.428,18.330,18.345,18.339,18.429,18.333,18.308,18.364,18.336
value_eur,35928923412056.805,35675633353477.867,35612145973164.406,35574406108921.891,35557758384350.953,35683238255684.898,35547200378701.648,35533589427848.727,35606267315244.234,36856557299141.133,35895943930577.594,35546128838325.414,35538378436785.781,36112314232754.664,35582414318800.391,35780460535885.602,35521481667090.805,35514363797007.938,35526387036794.055,35568605008916.977,35505342566376.375,35536565652456.523,35579227158799.805,35505062676130.141,35517949635754.969,35547153306166.102,35504592407660.031,35521578297281.484,35521764389766.305,35551694303624.984,35533705463789.617,35512114212055.156,35493959829210.836,35620760819555.562,35542159838384.539,35530403471666.836,35512954515719.875,35616735672760.836,35501612380954.195,35516636341864.859,35516653583171.000,35645101934903.750,35526221318616.734,35555719441753.211,35518275519232.492,35523200811778.883,35715537776031.625,35491761361349.430,35489478812059.070,35521746496731.312,35495991654690.484,35523984472244.812,35562572603054.578,35555550738420.047,35589023132277.961,35557274133433.469,35605520229430.953,35559264950198.719,35541521453716.523,35543657387662.398,35493140777692.859,35560504255185.695,35552124352163.883,35500735415024.695,35483407911036.000,35561593794965.945,35487529122118.508,35492239153126.305,35500053801355.516,35573803383598.031,35509105693320.586,35513763359618.531,35544952751989.320,35524187269313.977,35488291460094.562,35511432929342.492,35545548551844.703,35583830278788.453,35524460900408.781,35537401630025.180,35480145201182.227,35544746740768.578,35560602390877.547,35483610432683.641,35531477219837.641,35579077283680.141,35537635060864.945,35485822234675.133,35581257858630.867,35601251703629.148,35511032424254.867,35618787015113.828,35487854988210.828,35504748833467.148,35706333005628.195,35519387160648.680,35473775968315.602,35468163977464.000,35526218562148.852,35505773864431.477
age,19.003,16.346,15.702,15.467,15.371,15.272,15.239,15.217,15.187,15.185,15.158,15.141,15.143,15.146,15.120,15.104,15.128,15.138,15.097,15.098,15.094,15.119,15.082,15.116,15.080,15.080,15.077,15.100,15.072,15.071,15.080,15.077,15.081,15.077,15.067,15.080,15.081,15.080,15.079,15.066,15.080,15.082,15.072,15.074,15.078,15.081,15.060,15.068,15.061,15.079,15.072,15.094,15.077,15.064,15.074,15.073,15.068,15.105,15.074,15.074,15.117,15.073,15.075,15.061,15.064,15.092,15.067,15.076,15.072,15.060,15.060,15.059,15.089,15.079,15.086,15.085,15.089,15.070,15.060,15.073,15.083,15.070,15.063,15.063,15.075,15.076,15.067,15.074,15.070,15.067,15.065,15.073,15.073,15.058,15.071,15.127,15.071,15.077,15.086,15.075
